country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Cuba,2022,33000,,2023,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-cuba.xlsx
Cuba,2023,35000,,2023,mine_production_pb_content,"Lead, mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-cuba.xlsx
Finland,2019,937000,,2022,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,converted_from_thousand_t,2,myb3-2022-Finland-advrel.xlsx
Finland,2020,1530,,2022,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2022-Finland-advrel.xlsx
Finland,2021,1494,,2022,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2022-Finland-advrel.xlsx
Finland,2022,1535,,2022,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2022-Finland-advrel.xlsx
Greece,2015,9200,,2019,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,4,myb3-2019-greece.xlsx
Greece,2016,11300,,2019,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2019-greece.xlsx
Greece,2017,8700,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2020-21-greece.xlsx
Greece,2018,8800,r,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2020-21-greece.xlsx
Greece,2019,10500,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2020-21-greece.xlsx
Greece,2020,13800,,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2020-21-greece.xlsx
Greece,2021,16000,e,2020,mine_production_pb_content,"Lead, mine, Pb content",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2020-21-greece.xlsx
India,2015,136000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-india.xlsx
India,2016,147000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-india.xlsx
India,2017,175633,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-india.xlsx
India,2018,192496,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-india.xlsx
India,2019,202974,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,5,myb3-2023-India-ERT.xlsx
India,2020,197527,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx
India,2021,219117,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx
India,2022,211844,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-India-ERT.xlsx
India,2023,220795,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-India-ERT.xlsx
Indonesia,2015,5000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-indonesia.xlsx
Indonesia,2016,5000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-indonesia.xlsx
Indonesia,2017,8000,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-indonesia.xlsx
Indonesia,2018,11000,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-indonesia.xlsx
Indonesia,2019,11000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-indonesia.xlsx
Indonesia,2020,8000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-indonesia.xlsx
Indonesia,2021,8000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-indonesia.xlsx
Indonesia,2022,5000,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-indonesia.xlsx
Indonesia,2023,6400,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-indonesia.xlsx
Iran,2015,40800,,2017,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2017-18-iran.xlsx
Iran,2016,47000,r,2017,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2017-18-iran.xlsx
Iran,2017,48000,,2020,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-iran.xlsx
Iran,2018,48000,,2022,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-iran.xlsx
Iran,2019,52000,r,2023,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx
Iran,2020,52000,,2023,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx
Iran,2021,58000,r,2023,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx
Iran,2022,58000,r,2023,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-iran.xlsx
Iran,2023,60000,,2023,mine_production_pb_content,"Lead > Mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-iran.xlsx
Ireland,2015,31300,,2019,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,4,myb3-2019-ireland.xlsx
Ireland,2016,19600,,2019,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,3,myb3-2019-ireland.xlsx
Ireland,2017,17083,,2020,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,3,myb3-2020-21-Ireland-advrel.xlsx
Ireland,2018,16712,,2022,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,4,myb3-2022-Ireland-adv.xlsx
Ireland,2019,16100,,2022,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,3,myb3-2022-Ireland-adv.xlsx
Ireland,2020,14401,,2022,mine_production_pb_content,"Lead > Mine, Pb content",metric tons,metric_tonnes,2,myb3-2022-Ireland-adv.xlsx
