country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Kazakhstan,2020,112000,e,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-kazakhstan.xlsx
Kazakhstan,2021,105000,e,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-kazakhstan.xlsx
Kazakhstan,2022,106000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-kazakhstan.xlsx
Kazakhstan,2023,101497,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-kazakhstan.xlsx
Mexico,2015,263772,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-mexico.xlsx
Mexico,2016,94725,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-mexico.xlsx
Mexico,2017,92535,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-mexico.xlsx
Mexico,2018,104100,e,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-mexico.xlsx
Mexico,2019,119000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-mexico.xlsx
Mexico,2020,112000,e,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-mexico.xlsx
Mexico,2021,120000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-mexico.xlsx
Mexico,2022,109000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-mexico.xlsx
North Korea,2018,2000,,2022,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-North_Korea-ert.xlsx
North Korea,2019,3000,,2022,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-North_Korea-ert.xlsx
