year,country_trans,bgs_commodity_trans,Mass of Pb,concat_figure_notes_text,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1974,Greece,"lead, mine",22100,,,,,,,,,,,,,
1974,Honduras,"lead, mine",18433,,,,,,,,,,,,,
1974,Japan,"lead, refined",227960,,,,,,,,,,,,,
1974,Hungary,"lead, mine",1239,,,,,,,,,,,,,
1974,Algeria,"lead, mine",3000,,,,,,,,,,,,,
1974,Tunisia,"lead, refined",27500,,,,,,,,,,,,,
1974,Bulgaria,"lead, mine",110000,Estimates.,,,,,,,,,,,,
1974,"Korea, Dem. P.R. of","lead, mine",120000,Estimates.,,,,,,,,,,,,
1974,Portugal,"lead, refined",687,,,,,,,,,,,,,
1974,Finland,"lead, mine",1532,Recoverable.,,,,,,,,,,,,
1974,Romania,"lead, refined",45000,Estimates.,,,,,,,,,,,,
1974,Argentina,"lead, mine",37826,,,,,,,,,,,,,
1974,Austria,"lead, mine",5785,,,,,,,,,,,,,
1974,Soviet Union,"lead, mine",590000,Estimates.,,,,,,,,,,,,
1974,France,"lead, mine",22976,,,,,,,,,,,,,
1974,Spain,"lead, refined",82000,,,,,,,,,,,,,
1974,Greenland,"lead, mine",37000,,,,,,,,,,,,,
1974,Norway,"lead, mine",3376,,,,,,,,,,,,,
1974,Netherlands,"lead, refined",26400,,,,,,,,,,,,,
1974,Korea (Rep. of),"lead, refined",4606,,,,,,,,,,,,,
1974,Australia,"lead, refined",192757,,,,,,,,,,,,,
1974,Czechoslovakia,"lead, refined",17870,,,,,,,,,,,,,
1974,German Democratic Rep,"lead, refined",35000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1974,China,"lead, mine",140000,Estimates.,,,,,,,,,,,,
1974,Norway,"lead, refined",1200,,,,,,,,,,,,,
1974,Belgium,"lead, refined",109608,Including secondary metal.,,,,,,,,,,,,
1974,Italy,"lead, refined",65200,,,,,,,,,,,,,
1974,Denmark,"lead, refined",14900,,,,,,,,,,,,,
1974,Canada,"lead, mine",301362,,,,,,,,,,,,,
1974,Japan,"lead, mine",44248,,,,,,,,,,,,,
1974,Brazil,"lead, refined",41686,,,,,,,,,,,,,
1974,Myanmar,"lead, refined",5176,Years ended 31 March following that stated.,,,,,,,,,,,,
1974,France,"lead, refined",177738,,,,,,,,,,,,,
1974,Mexico,"lead, mine",218021,,,,,,,,,,,,,
1974,Namibia,"lead, refined",64200,,,,,,,,,,,,,
1974,Myanmar,"lead, mine",4500,,,,,,,,,,,,,
1974,Austria,"lead, refined",14668,Including secondary metal.,,,,,,,,,,,,
1974,Colombia,"lead, mine",126,,,,,,,,,,,,,
1974,Yugoslavia,"lead, refined",114001,,,,,,,,,,,,,
1974,Namibia,"lead, mine",55200,,,,,,,,,,,,,
1974,Zambia,"lead, refined",24596,,,,,,,,,,,,,
1974,Brazil,"lead, mine",25922,,,,,,,,,,,,,
1974,Bulgaria,"lead, refined",105000,Estimates.,,,,,,,,,,,,
1974,Chile,"lead, mine",420,,,,,,,,,,,,,
1974,Yugoslavia,"lead, mine",119826,,,,,,,,,,,,,
1974,Greece,"lead, refined",14600,,,,,,,,,,,,,
1974,Czechoslovakia,"lead, mine",5400,Estimates.,,,,,,,,,,,,
1975,Yugoslavia,"lead, mine",126896,,,,,,,,,,,,,
1975,Brazil,"lead, mine",22365,,,,,,,,,,,,,
1975,Australia,"lead, refined",159793,,,,,,,,,,,,,
1975,Myanmar,"lead, mine",9800,,,,,,,,,,,,,
1975,China,"lead, mine",140000,Estimates.,,,,,,,,,,,,
1975,Namibia,"lead, mine",53100,,,,,,,,,,,,,
1975,Mexico,"lead, mine",178615,,,,,,,,,,,,,
1975,Canada,"lead, mine",352502,,,,,,,,,,,,,
1975,Denmark,"lead, refined",13700,,,,,,,,,,,,,
1975,Austria,"lead, refined",14792,Including secondary metal.,,,,,,,,,,,,
1975,Namibia,"lead, refined",44300,,,,,,,,,,,,,
1975,Myanmar,"lead, refined",2587,Years ended 31 March following that stated.,,,,,,,,,,,,
1975,German Democratic Rep,"lead, refined",36000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1975,Czechoslovakia,"lead, refined",18447,,,,,,,,,,,,,
1975,Bulgaria,"lead, refined",110000,Estimates.,,,,,,,,,,,,
