country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file,,,,
France,2018,70000,,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,4,myb3-2022-France-advrel.xlsx,,,,
France,2019,70000,,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,3,myb3-2022-France-advrel.xlsx,,,,
France,2020,60000,,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,2,myb3-2022-France-advrel.xlsx,,,,
France,2021,70000,,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,2,myb3-2022-France-advrel.xlsx,,,,
France,2022,65000,,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,converted_from_thousand_t,1,myb3-2022-France-advrel.xlsx,,,,
Germany,2015,253000,,2019,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2019-germany.xlsx,,,,
Germany,2016,224000,,2019,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2019-germany.xlsx,,,,
Germany,2017,241000,,2020,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2020-21-Germany-advrel.xlsx,,,,
Germany,2018,217000,,2022,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,4,myb3-2022-Germany-adv.xlsx,,,,
Germany,2019,229000,,2022,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2022-Germany-adv.xlsx,,,,
Germany,2020,194000,,2022,refined_secondary,"Lead, refinery > Secondary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Germany-adv.xlsx,,,,
